classification,Harmless,Malicious
malicious,61,3
malicious,0,0
malicious,62,1
malicious,0,0
malicious,0,0
malicious,0,0
malicious,64,0
malicious,61,3
malicious,0,0
malicious,0,0
malicious,63,3
malicious,61,3
benign,54,10
malicious,0,0
malicious,0,0
malicious,0,0
malicious,0,0
malicious,0,0
malicious,63,1
malicious,65,1
malicious,0,0
malicious,57,9
malicious,0,0
malicious,0,0
malicious,0,0
malicious,0,0
malicious,63,2
malicious,0,0
malicious,62,5
malicious,0,0
malicious,0,0
malicious,0,0
malicious,62,3
malicious,0,0
malicious,0,0
malicious,60,5
malicious,62,1
malicious,0,0
malicious,64,0
malicious,0,0
malicious,0,0
malicious,63,2
malicious,0,0
malicious,64,1
malicious,0,0
malicious,64,0
malicious,0,0
malicious,0,0
malicious,0,0
malicious,0,0
malicious,0,0
malicious,63,1
malicious,0,0
malicious,48,0
malicious,0,0
malicious,60,4
malicious,64,1
malicious,0,0
malicious,0,0
malicious,0,0
malicious,0,0
malicious,0,0
malicious,0,0
malicious,0,0
malicious,56,9
malicious,0,0
malicious,1,0
malicious,65,0
malicious,0,0
malicious,63,2
malicious,0,0
malicious,62,1
malicious,0,0
malicious,0,0
malicious,61,4
malicious,0,0
malicious,47,0
malicious,57,10
malicious,59,4
benign,53,12
malicious,0,0
benign,50,19
malicious,0,0
malicious,0,0
malicious,0,0
malicious,0,0
malicious,0,0
malicious,60,4
malicious,0,0
malicious,0,0
malicious,62,2
malicious,0,0
malicious,64,1
malicious,62,1
malicious,62,3
malicious,60,5
malicious,0,0
malicious,0,0
malicious,0,0
malicious,0,0
malicious,0,0
malicious,0,0
malicious,64,1
malicious,0,0
malicious,63,2
malicious,0,0
malicious,47,0
malicious,0,0
malicious,0,0
malicious,61,4
malicious,0,0
malicious,0,0
malicious,0,0
malicious,62,3
malicious,61,4
malicious,0,0
malicious,0,0
malicious,61,3
malicious,0,0
malicious,0,0
malicious,0,0
malicious,0,0
malicious,65,1
malicious,0,0
malicious,61,5
malicious,62,4
malicious,0,0
malicious,0,0
malicious,0,0
malicious,58,0
malicious,0,0
malicious,0,0
malicious,0,0
malicious,57,11
malicious,0,0
malicious,0,0
malicious,0,0
malicious,0,0
malicious,0,0
malicious,0,0
malicious,0,0
malicious,0,0
malicious,56,10
malicious,63,2
malicious,63,1
malicious,63,0
malicious,0,0
malicious,0,0
malicious,62,1
malicious,63,1
malicious,64,1
benign,55,10
malicious,0,0
malicious,0,0
malicious,0,0
malicious,63,2
malicious,59,5
malicious,0,0
malicious,65,0
malicious,0,0
malicious,0,0
malicious,0,0
malicious,0,0
malicious,0,0
malicious,60,7
malicious,0,0
malicious,64,3
malicious,0,0
malicious,0,0
malicious,61,2
malicious,0,0
malicious,61,6
malicious,0,0
malicious,0,0
malicious,0,0
malicious,0,0
malicious,0,0
malicious,64,1
malicious,0,0
malicious,0,0
malicious,57,10
malicious,0,0
malicious,0,0
malicious,62,2
malicious,65,0
malicious,63,3
malicious,0,0
malicious,58,9
malicious,57,9
malicious,58,6
malicious,0,0
malicious,0,0
malicious,0,0
malicious,62,3
malicious,0,0
malicious,0,0
malicious,0,0
malicious,0,0
malicious,0,0
malicious,0,0
malicious,0,0
malicious,65,0
malicious,0,0
malicious,62,3
malicious,0,0
malicious,0,0
malicious,0,0
malicious,0,0
malicious,62,3
malicious,65,0
malicious,0,0
malicious,0,0
malicious,0,0
malicious,63,2
malicious,0,0
malicious,58,7
malicious,60,4
malicious,0,0
malicious,0,0
malicious,0,0
malicious,0,0
malicious,58,9
malicious,61,4
malicious,0,0
malicious,0,0
malicious,0,0
malicious,0,0
malicious,63,1
malicious,64,1
malicious,64,0
malicious,0,0
malicious,0,0
malicious,0,0
malicious,0,0
malicious,0,0
malicious,0,0
malicious,62,0
malicious,59,6
malicious,0,0
malicious,0,0
malicious,0,0
malicious,0,0
malicious,0,0
malicious,0,0
malicious,0,0
malicious,0,0
malicious,0,0
malicious,61,3
malicious,0,0
malicious,62,1
malicious,0,0
malicious,0,0
malicious,0,0
malicious,0,0
malicious,0,0
malicious,0,0
malicious,0,0
malicious,59,7
malicious,63,1
malicious,63,2
malicious,0,0
malicious,0,0
malicious,0,0
malicious,61,1
malicious,62,2
malicious,0,0
malicious,0,0
malicious,0,0
malicious,0,0
malicious,64,1
malicious,0,0
malicious,0,0
malicious,57,9
malicious,0,0
malicious,0,0
malicious,0,0
malicious,63,5
malicious,0,0
malicious,63,3
malicious,0,0
malicious,0,0
benign,52,15
malicious,62,4
malicious,0,0
malicious,63,1
malicious,0,0
malicious,0,0
malicious,60,4
malicious,59,5
malicious,64,1
malicious,58,5
malicious,60,6
malicious,60,5
malicious,60,4
malicious,60,5
malicious,0,0
malicious,0,0
malicious,62,1
malicious,65,1
malicious,0,0
benign,53,14
malicious,61,2
malicious,0,0
malicious,63,1
malicious,0,0
malicious,66,0
malicious,0,0
malicious,0,0
malicious,62,3
malicious,0,0
benign,53,13
malicious,0,0
malicious,0,0
malicious,0,0
malicious,0,0
malicious,0,0
malicious,0,0
malicious,63,1
malicious,0,0
malicious,65,1
malicious,0,0
malicious,63,3
malicious,62,2
malicious,0,0
malicious,0,0
malicious,62,3
malicious,0,0
malicious,0,0
malicious,63,2
malicious,61,3
